ID	W100	W105	W111	W117	W154	W183	W189	W193	W196	W234	W53	W64	W79	W85	W89	W91
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Marmoricola|s__Marmoricola scoriae	7573	14404	1451	491	220	465	374	175	285	619	352	8684	2779	8835	587	3284
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Micropruina	1429	2045	661	200	147	284	227	125	202	378	232	1370	450	961	350	623
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Micropruina|s__Micropruina glycogenica	1429	2045	661	200	147	284	227	125	202	378	232	1370	450	961	350	623
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides	33864	69915	6162	2464	918	2140	1627	870	1312	2270	1474	52623	13202	32381	2252	14004
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides dokdonensis	8509	13937	1398	653	219	479	330	216	292	455	337	8891	2565	6749	418	2822
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides sp. 78	5856	10944	927	396	145	329	303	161	237	371	287	7345	1900	4953	471	2200
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides sp. CF8	7054	22776	1725	643	218	484	352	178	275	527	310	21274	3875	7731	399	2895
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides sp. JS614	9496	15945	1755	628	307	720	542	270	423	761	431	10511	3755	10009	893	4901
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Pimelobacter	6278	11380	1389	525	265	563	424	233	340	566	340	7387	2676	6533	562	3026
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Pimelobacter|s__Pimelobacter simplex	6278	11380	1389	525	265	563	424	233	340	566	340	7387	2676	6533	562	3026
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae	17012	19357	6073	2795	1940	2970	2852	1660	2381	2955	2207	13945	5335	12009	3925	6678
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Acidipropionibacterium	1907	1680	644	362	255	379	318	189	293	226	293	1316	511	1121	376	637
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Acidipropionibacterium|s__Acidipropionibacterium acidipropionici	819	847	351	161	119	195	150	79	159	108	130	640	255	556	167	342
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Acidipropionibacterium|s__Acidipropionibacterium virtanenii	809	626	219	142	112	145	132	75	100	94	127	540	197	424	175	236
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Auraticoccus	2129	2537	724	266	168	257	215	127	237	283	167	1798	665	1671	466	819
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Auraticoccus|s__Auraticoccus monumenti	2129	2537	724	266	168	257	215	127	237	283	167	1798	665	1671	466	819
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium	1135	1050	457	308	237	313	259	216	262	319	217	928	364	704	277	482
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium acnes	154	163	113	66	29	59	48	45	35	52	34	140	62	106	70	86
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium avidum	622	457	200	154	134	142	134	104	122	182	88	465	177	362	124	242
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium granulosum	331	371	131	82	61	102	69	61	91	77	87	290	112	216	75	138
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Microlunatus	3448	4162	1386	467	304	479	397	256	377	648	311	2967	1244	3155	979	1569
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Microlunatus|s__Microlunatus phosphovorus	1795	2431	699	237	134	254	199	138	193	347	164	1581	650	1631	474	794
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Microlunatus|s__Microlunatus soli	1630	1674	684	229	170	225	197	117	177	296	146	1361	573	1480	501	766
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium	1066	919	373	208	137	203	175	124	143	168	159	782	278	597	235	356
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium freudenreichii	912	803	315	163	120	179	138	94	123	139	138	684	230	532	181	310
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium sp. oral taxon 193	154	116	58	45	17	23	37	30	20	29	21	98	47	65	54	46
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionimicrobium	36	23	19	29	17	33	9	12	18	14	16	38	16	20	27	20
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionimicrobium|s__Propionimicrobium sp. Marseille-P3275	36	23	19	29	17	33	9	12	18	14	16	38	16	20	27	20
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Pseudopropionibacterium	707	656	242	142	111	152	132	80	111	117	147	492	207	433	230	244
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Pseudopropionibacterium|s__Pseudopropionibacterium propionicum	707	656	242	142	111	152	132	80	111	117	147	492	207	433	230	244
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Tessaracoccus	5709	7245	1938	884	635	1020	1198	581	820	1037	791	4950	1807	3714	1200	2285
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Tessaracoccus|s__Tessaracoccus aquimaris	1026	1353	347	171	139	264	238	96	156	216	151	995	409	783	233	467
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Tessaracoccus|s__Tessaracoccus flavescens	1090	1276	350	185	102	155	171	87	123	161	153	806	341	726	215	445
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Tessaracoccus|s__Tessaracoccus flavus	1001	1365	378	169	110	161	203	130	145	229	137	960	349	677	284	359
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Tessaracoccus|s__Tessaracoccus sp. Marseille-P5995	624	503	193	104	74	101	108	96	79	105	102	437	180	367	129	263
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Tessaracoccus|s__Tessaracoccus sp. T2.5-30	1380	2136	486	189	159	271	386	139	251	228	201	1333	391	890	260	566
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales	57477	47650	22099	8326	5625	10193	6342	4391	6299	12086	5158	44234	22918	77108	23224	34797
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae	57477	47650	22099	8326	5625	10193	6342	4391	6299	12086	5158	44234	22918	77108	23224	34797
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Actinoalloteichus	4594	3556	1833	750	513	796	593	376	565	880	539	3201	1584	3805	1514	2044
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Actinoalloteichus|s__Actinoalloteichus hoggarensis	1066	776	420	180	93	139	136	94	124	203	118	731	346	835	301	470
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Actinoalloteichus|s__Actinoalloteichus hymeniacidonis	781	681	389	154	108	145	109	63	123	188	115	599	313	691	304	366
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Actinoalloteichus|s__Actinoalloteichus sp. ADI127-7	22	19	14	6	4	4	5	4	4	10	1	29	14	20	5	12
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Actinoalloteichus|s__Actinoalloteichus sp. AHMU CJ021	1480	1067	488	224	166	260	175	123	154	262	155	902	456	1100	433	588
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Actinoalloteichus|s__Actinoalloteichus sp. GBA129-24	19	23	19	4	2	11	12	3	14	5	7	29	15	36	22	18
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Actinosynnema	2407	2015	804	298	255	392	222	178	231	397	248	1594	921	2385	867	1265
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Actinosynnema|s__Actinosynnema mirum	35	49	24	8	11	14	11	13	7	21	9	31	21	68	59	39
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Actinosynnema|s__Actinosynnema pretiosum	569	479	181	73	62	101	56	50	65	98	81	365	216	554	209	300
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Alloactinosynnema	1734	1414	731	318	211	358	193	136	195	374	156	1393	783	2012	669	1008
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Alloactinosynnema|s__Alloactinosynnema sp. L-07	1734	1414	731	318	211	358	193	136	195	374	156	1393	783	2012	669	1008
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Allokutzneria	1855	1411	757	281	194	295	186	121	162	314	185	1331	693	1936	769	1051
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Allokutzneria|s__Allokutzneria albata	1855	1411	757	281	194	295	186	121	162	314	185	1331	693	1936	769	1051
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Amycolatopsis	13010	10281	4796	1901	1347	2366	1443	1084	1436	2793	1111	9615	5355	26741	5976	9555
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Amycolatopsis|s__Amycolatopsis albispora	2151	1618	667	269	188	341	176	152	208	362	160	1371	718	2106	845	1051
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Amycolatopsis|s__Amycolatopsis japonica	416	338	161	81	59	69	57	38	63	106	59	334	210	532	156	261
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Amycolatopsis|s__Amycolatopsis keratiniphila	470	300	104	45	38	63	34	31	35	67	28	303	146	420	172	214
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Amycolatopsis|s__Amycolatopsis mediterranei	2124	1832	775	345	230	393	278	195	280	522	188	1786	1071	13446	1170	2883
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Amycolatopsis|s__Amycolatopsis methanolica	1978	1692	830	273	219	372	210	196	196	460	123	1539	772	2444	1078	1362
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Amycolatopsis|s__Amycolatopsis orientalis	1206	820	448	171	107	213	135	87	126	215	97	794	536	1537	499	739
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Amycolatopsis|s__Amycolatopsis sp. AA4	1763	1077	563	249	156	305	198	135	173	392	164	1045	584	1922	641	971
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Amycolatopsis|s__Amycolatopsis sp. BJA-103	719	647	315	139	114	150	84	54	86	184	54	613	341	963	394	479
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Kibdelosporangium	2208	1462	726	275	196	299	226	155	227	389	160	1414	815	2341	920	1176
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Kibdelosporangium|s__Kibdelosporangium phytohabitans	2208	1462	726	275	196	299	226	155	227	389	160	1414	815	2341	920	1176
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Kutzneria	1910	1648	726	275	179	347	195	154	245	467	213	1548	778	2233	1134	1345
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Kutzneria|s__Kutzneria albida	1910	1648	726	275	179	347	195	154	245	467	213	1548	778	2233	1134	1345
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Lentzea	2414	2026	914	293	167	386	227	165	200	391	189	1736	1282	4149	732	1658
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Lentzea|s__Lentzea guizhouensis	2414	2026	914	293	167	386	227	165	200	391	189	1736	1282	4149	732	1658
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Prauserella	1097	776	417	219	119	228	167	112	146	248	108	799	419	980	464	590
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Prauserella|s__Prauserella marina	1097	776	417	219	119	228	167	112	146	248	108	799	419	980	464	590
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Pseudonocardia	10974	10564	4824	1517	1029	1976	1238	792	1211	2991	874	9829	4762	14583	4187	6889
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Pseudonocardia|s__Pseudonocardia dioxanivorans	3057	2819	1510	399	281	589	368	212	347	1032	232	2907	1528	4856	1408	2328
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Pseudonocardia|s__Pseudonocardia sp. AL041005-10	1212	1285	589	181	141	256	175	93	151	335	119	1134	569	1490	437	745
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Pseudonocardia|s__Pseudonocardia sp. EC080610-09	0.0	0.0	0.0	0.0	0.0	0.0	1	2	0.0	2	0.0	0.0	0.0	1	0.0	1
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Pseudonocardia|s__Pseudonocardia sp. EC080619-01	0.0	0.0	5	1	0.0	0.0	0.0	0.0	0.0	5	0.0	1	0.0	3	0.0	1
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Pseudonocardia|s__Pseudonocardia sp. EC080625-04	9	44	37	4	6	6	1	3	0.0	51	11	53	14	41	127	46
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Pseudonocardia|s__Pseudonocardia sp. HH130629-09	1104	1111	425	207	96	164	124	84	128	252	79	1046	449	1349	377	628
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Pseudonocardia|s__Pseudonocardia sp. HH130630-07	1702	1657	711	246	172	298	163	123	171	358	144	1465	669	2071	524	939
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Saccharomonospora	6190	4371	2104	893	588	1132	653	437	662	1003	518	4484	1839	4575	1878	2442
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Saccharomonospora|s__Saccharomonospora azurea	1025	805	331	192	97	204	104	75	124	185	71	873	325	903	353	433
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Saccharomonospora|s__Saccharomonospora cyanea	1022	656	419	135	110	220	137	74	106	163	107	681	333	778	286	374
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Saccharomonospora|s__Saccharomonospora glauca	693	622	246	123	78	151	97	79	88	142	57	566	242	577	262	295
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Saccharomonospora|s__Saccharomonospora marina	1872	1073	581	212	144	291	155	106	172	290	126	1101	497	1265	610	743
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Saccharomonospora|s__Saccharomonospora viridis	668	702	288	135	110	143	91	59	100	121	94	758	240	540	194	293
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Saccharopolyspora	1929	1689	726	278	170	324	251	132	251	359	205	1511	783	2019	930	1073
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Saccharopolyspora|s__Saccharopolyspora erythraea	1929	1689	726	278	170	324	251	132	251	359	205	1511	783	2019	930	1073
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Saccharothrix	1994	1623	712	315	245	352	242	148	215	390	218	1485	768	2197	843	1179
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Saccharothrix|s__Saccharothrix espanaensis	1994	1623	712	315	245	352	242	148	215	390	218	1485	768	2197	843	1179
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales	145704	160609	52846	21061	15326	25121	19463	11303	14623	25476	14465	101587	57591	153261	58016	79142
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae	145704	160609	52846	21061	15326	25121	19463	11303	14623	25476	14465	101587	57591	153261	58016	79142
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Kitasatospora	4709	3659	1788	622	530	710	529	382	494	892	489	3173	1593	4114	2164	2603
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Kitasatospora|s__Kitasatospora albolonga	389	311	161	63	40	68	50	39	43	73	43	256	110	279	118	158
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Kitasatospora|s__Kitasatospora aureofaciens	1338	881	447	154	118	149	131	99	119	205	114	744	379	1001	571	666
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Kitasatospora|s__Kitasatospora setae	1344	1133	573	208	187	227	174	119	166	268	161	978	507	1368	650	851
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Kitasatospora|s__Kitasatospora sp. MMS16-BH015	1449	1130	492	173	165	229	149	113	140	300	132	1001	515	1221	692	792
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptacidiphilus	1604	1050	640	186	155	217	168	112	151	260	164	985	466	1080	626	608
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptacidiphilus|s__Streptacidiphilus sp. DSM 106435	1604	1050	640	186	155	217	168	112	151	260	164	985	466	1080	626	608
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces	133143	150226	47819	19346	14053	23260	18093	10375	13355	23360	13188	92793	53444	142663	52540	72754
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces actuosus	763	758	243	104	71	140	95	77	91	104	96	532	323	938	336	423
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces albireticuli	981	815	318	141	128	139	105	65	90	168	106	608	339	804	358	485
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces alboflavus	1305	873	428	131	109	189	126	81	143	203	84	711	416	1051	356	587
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces albulus	1122	775	317	165	125	168	149	110	132	243	105	656	355	874	378	524
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces albus	1242	987	469	197	137	238	159	86	141	185	126	833	405	1072	412	575
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces alfalfae	38	45	13	13	3	10	3	3	2	8	5	27	10	42	14	16
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces ambofaciens	838	796	264	108	106	142	95	65	74	135	89	431	294	793	270	372
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces antibioticus	632	897	311	132	82	181	113	67	103	167	86	578	403	1065	276	542
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces anulatus	377	744	142	70	48	68	57	46	61	92	37	509	186	412	159	239
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces atratus	953	795	276	136	118	225	136	103	115	190	94	684	376	836	508	523
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces autolyticus	100	94	47	20	19	25	17	19	24	100	21	82	48	94	507	98
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces avermitilis	700	970	370	114	83	157	101	61	120	179	93	763	422	1198	346	814
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces bacillaris	282	672	71	33	42	67	29	27	26	71	39	163	79	156	98	85
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces bingchenggensis	1567	1034	462	262	196	314	211	180	209	357	167	967	553	1313	691	816
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces cattleya	1616	1202	572	223	203	232	149	123	142	238	168	1012	509	1363	755	795
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces cavourensis	176	159	54	34	11	25	21	24	24	23	22	106	60	107	52	55
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces chartreusis	1950	3870	603	280	166	547	188	130	156	313	172	1217	861	2375	664	1040
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces clavuligerus	766	759	385	128	112	148	89	86	81	147	91	643	298	745	452	400
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces coelicolor	39	68	11	16	13	12	6	6	12	38	7	38	30	59	21	24
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces collinus	595	738	369	92	87	156	87	66	101	128	68	541	311	920	285	490
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces cyaneogriseus	299	328	121	35	45	63	44	25	34	46	43	212	124	329	94	155
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces davaonensis	1071	936	388	130	83	165	94	69	110	178	75	670	412	1182	339	542
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces dengpaensis	846	896	392	149	88	159	123	87	104	207	61	721	412	1163	565	995
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces formicae	923	916	410	140	147	163	154	94	123	215	115	729	465	1057	345	569
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces fradiae	1	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	1	0.0	0.0	0.0	1
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces fulvissimus	505	497	153	64	59	84	53	28	52	92	58	377	228	454	219	239
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces gilvosporeus	822	552	330	136	96	124	83	64	92	176	104	479	270	662	419	402
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces glaucescens	872	797	237	94	74	134	99	56	76	124	81	467	323	796	243	414
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces globisporus	614	1947	218	101	55	99	73	61	56	83	74	692	258	492	160	278
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces globosus	923	798	282	160	113	196	113	54	90	173	94	691	321	758	346	421
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces griseochromogenes	973	707	282	132	74	161	101	72	73	162	92	563	347	915	480	577
