# Pathway	W100	W105	W111	W117	W154	W183	W189	W193	W196	W234	W53	W64	W79	W85	W89	W91
P165-PWY: superpathway of purines degradation in plants|unclassified	740.6419832154	632.3965075763	504.850470803	288.4073476591	133.4293295108	224.8929673312	172.813340854	103.0151495732	130.2913831317	461.8774146618	41.918567815	791.4938323102	545.6881124346	849.7636256039	369.2111781537	652.962350019
P181-PWY: nicotine degradation I (pyridine pathway)	12.7767143281	19.9091432126	3.6302819257	8.9981400361	0	4.2100501547	0	0	4.6250347704	1.3458953985	0	12.2146577908	8.1156240446	9.0468551934	4.172848251	4.7652372853
P181-PWY: nicotine degradation I (pyridine pathway)|unclassified	12.7766479288	19.9091087262	3.6302772127	8.9981400361	0	4.2100501547	0	0	4.6250347704	1.3458953985	0	12.2145567912	8.1138600418	9.0462706528	4.172848251	4.765230121
P184-PWY: protocatechuate degradation I (meta-cleavage pathway)	156.2467504564	72.6035580605	97.9873902665	64.0602636911	20.5524173414	71.118538838	81.8274882526	46.3803673549	73.9690876245	93.1592564236	20.3020868972	101.5009841899	73.6875685451	103.2449406824	67.2270065726	98.2818596526
P184-PWY: protocatechuate degradation I (meta-cleavage pathway)|unclassified	156.2390022614	72.527881191	97.9873902665	64.0602636911	20.5520479732	71.1073940637	81.8274882526	46.3782956586	73.9690876245	93.028518877	20.3020486171	100.3965725099	73.6612018751	103.1298017356	67.1254936488	98.0919746564
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	2078.9592990179	1239.8784670681	833.3956690103	429.7590153806	483.5840384016	514.7109090353	497.5881648995	338.5648183331	492.5491081081	596.5554476107	700.5939259287	1320.3834413061	613.7249265401	1147.3857124673	606.9162712484	728.6784792571
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)|unclassified	2067.1256835868	1223.4088642072	833.3717957033	429.4195241685	483.4321027401	514.4340323836	497.2294117195	338.4947048934	492.2350782244	592.9447551659	696.881113702	1311.1980241573	607.6579108467	1139.8387324358	606.7098036684	722.1724808029
P221-PWY: octane oxidation	885.0551559239	376.7727195768	175.6441910045	274.7835286437	277.7643301526	323.8088308607	388.2743318125	366.1021865563	278.7898863007	174.1447239935	85.6580428323	315.3292235002	176.4455587767	298.5702098111	102.6526269014	254.5366991557
P221-PWY: octane oxidation|g__Sorangium.s__Sorangium_cellulosum	0	0	0	0	0	0	0	0	0	0	0	0	1.5723344424	0	0	0
P221-PWY: octane oxidation|unclassified	881.4058378546	376.28293693	175.6438484968	274.7835286437	276.0146047919	323.7930462451	388.2743318125	366.1003347023	278.7898863007	174.0767343413	85.5169956132	315.2315985543	174.1112287281	298.4637745995	102.6520157862	252.5041112148
P23-PWY: reductive TCA cycle I	801.2965441098	279.971665028	777.0460067992	728.5751947341	345.1337393159	748.8996722226	806.1610712885	460.8736200757	846.4440502704	735.0235438418	325.4048035921	895.4161848211	469.065304422	530.1786086987	426.5018370612	409.6136466358
P23-PWY: reductive TCA cycle I|unclassified	800.2145662982	279.8223298922	777.033963858	728.0979513629	345.0959059721	748.5858655872	805.7477347052	460.8289906363	845.9940261555	733.2906000303	325.0157381634	894.4548858901	468.5597372469	529.6588607254	426.0704536276	409.0661789328
P241-PWY: coenzyme B biosynthesis	38.0563825309	12.5631709194	13.7778486134	9.9234434446	15.0729079152	47.1575181128	40.6657148179	26.8342739955	53.3060894828	12.9544705821	29.5125372848	13.3095235512	6.3494408287	6.7051540832	10.8588081392	8.8778383013
P241-PWY: coenzyme B biosynthesis|unclassified	35.74960006	12.5229347554	13.7778486134	9.9234434446	15.0729079152	47.1575181128	39.5268073553	26.8342739955	53.3060894828	12.9544705821	29.4727525414	13.3095235512	6.3494408287	6.7051540832	10.8588081392	8.8778383013
P261-PWY: coenzyme M biosynthesis I	348.484614147	212.4837699324	250.8811338086	122.9046644421	98.0804777001	269.7961732667	216.3161782521	133.3875881326	197.4315182277	313.6392494379	52.0844329817	442.4218457711	268.4597240464	430.3443871318	377.5414241268	347.9527597616
P261-PWY: coenzyme M biosynthesis I|unclassified	336.7440240958	212.3445007494	250.8811338086	122.9046644421	98.0804777001	269.7961732667	216.1473833592	133.3875881326	197.4315182277	313.6392494379	52.0844329817	442.4218457711	268.4597240464	428.0981101076	377.3388348317	347.7993727762
P281-PWY: 3-phenylpropanoate degradation	11.3409294499	7.2787021615	7.207818306	6.0470839811	3.6335507155	6.881271351	9.3747417895	5.9664715841	6.5436155481	16.4201237313	8.1911233034	9.0955849735	5.0348095823	5.8742526956	4.1067335684	6.704700306
P281-PWY: 3-phenylpropanoate degradation|unclassified	11.3409294499	7.2787021615	7.207818306	6.0470839811	3.6335507155	6.881271351	9.3747417895	5.9664715841	6.5436155481	16.4201237313	7.7677461687	8.8531875857	5.0348095823	5.8742526956	4.1067335684	6.704700306
P3-PWY: gallate degradation III (anaerobic)	37.5028276151	15.2420555326	17.3399179167	12.7011725522	24.1750559465	35.8632491436	40.1387076917	36.416177673	50.9410430309	15.6368664207	25.7566828521	38.1976749681	14.109859952	26.9588202665	15.1573330139	18.1303299028
P3-PWY: gallate degradation III (anaerobic)|unclassified	37.5024856882	15.2418121986	17.3399179167	12.7011307284	24.1745990244	35.8631741744	40.1375360844	36.4156858774	50.9403655567	15.636449239	25.7470729221	38.1935314661	14.1091187707	26.9572009685	15.1572252668	18.1292081294
P341-PWY: glycolysis V (Pyrococcus)	225.2065832516	18.1879661114	49.311649228	25.3017737198	19.8040626737	59.6140685659	111.5099897486	16.2962998847	43.3291415399	23.420701415	6.034415089	28.0068038563	4.2890789199	20.8408500743	10.9916507167	7.4683425039
P341-PWY: glycolysis V (Pyrococcus)|unclassified	222.2424162878	18.1876852479	49.311649228	25.3012439667	19.8037233264	59.6109954122	107.819139226	16.2962070117	43.3260682421	23.4200369498	6.0342648997	28.0061960941	4.2890582854	20.8403234091	10.9915845348	7.4682646119
P381-PWY: adenosylcobalamin biosynthesis II (late cobalt incorporation)	45.7442068752	23.9877293238	9.5370919881	11.6962089001	24.3092647277	24.2762676612	28.4218110475	5.6399056034	17.1472066659	10.3744871912	5.8754004221	27.2403572108	14.4832014183	24.5151898292	17.5203099977	11.0651020111
P381-PWY: adenosylcobalamin biosynthesis II (late cobalt incorporation)|unclassified	45.6635333768	23.446169256	9.5370912358	11.6960113514	24.2437558369	24.2755292473	28.414046881	5.6397467039	17.1415723678	10.3724466323	5.8753147411	27.1721252555	14.476378594	24.4961314073	17.5172715942	11.0603701683
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	4123.7672756911	1997.7343274568	1541.0468588593	1801.2962899172	1677.9418010379	2130.1579307137	2408.66037708	1692.9063621854	2032.1583787006	1304.5210101112	1343.1874223234	2499.9845604098	1291.5945057163	2070.3047945454	861.9374460469	1584.0207697353
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I|unclassified	4066.1262417792	1989.2301165838	1541.0254916041	1791.9254077698	1673.4483605911	2116.1287861885	2392.3040772892	1690.2293765111	2019.5051288183	1300.9149999454	1273.4820087011	2464.1033384676	1283.0388204019	2053.8336839181	860.6752993786	1571.056073184
P42-PWY: incomplete reductive TCA cycle	4501.6470923335	2053.9994990914	1928.2649610954	2326.7705876198	2522.8962005837	3980.9125268618	4103.9092599448	2845.0659775081	3676.0189458845	2054.4415039649	2137.694410273	2685.4786525108	1461.0001505073	2312.8236525847	1658.7841611605	1698.1417149254
P42-PWY: incomplete reductive TCA cycle|g__Methanocorpusculum.s__Methanocorpusculum_labreanum	0	0	0	0	0	0	2.3577035069	0	0	0	0	0	0	0	0	0
P42-PWY: incomplete reductive TCA cycle|unclassified	4457.9958060794	2048.9001314562	1928.2037288051	2322.38791867	2518.9109234468	3973.7750307065	4074.7890294455	2843.5408924318	3667.54621194	2041.2982155964	2130.6832935933	2680.2896961622	1457.6231012593	2304.9407590567	1653.468192782	1689.9750508503
P441-PWY: superpathway of N-acetylneuraminate degradation	759.3056453082	384.1609190825	184.7494106109	140.1518117492	212.8488998155	211.6136441594	251.1213145139	194.8289253275	202.3252825372	118.2261661216	251.9726926929	332.3200896178	150.3031455635	232.6668008029	84.9848587299	158.6363456699
P441-PWY: superpathway of N-acetylneuraminate degradation|unclassified	747.1831062066	373.5351910806	184.7454858342	140.1289623727	212.2346813395	211.468497712	251.0141167552	194.8030144638	202.2695541521	118.1735203044	251.6255069898	332.0258214334	150.2569944308	232.4910732199	84.9668726843	158.5495525723
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	315.5059383031	329.3169206664	86.962921852	53.8424831551	164.9374972247	145.0118100915	164.394251105	127.975698676	247.564486465	80.4084739482	343.4782303194	233.0801890094	129.7983115981	101.8697036776	58.0233354318	67.4552191417
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|unclassified	315.4946610119	325.519000597	86.9628711567	53.8389463492	164.9191817919	145.0031290391	164.3650400326	127.9707394347	247.5183342128	80.4031110412	343.4782303194	233.0500035906	129.7820229177	101.8601057274	58.0212366642	67.4478177878
P562-PWY: myo-inositol degradation I	20.1503872566	18.4861407821	8.7149635476	7.4833424598	17.1857907827	23.0768691662	32.7705221245	13.6344097723	22.6732019119	7.0426668996	17.3665998574	16.8934424655	8.4386727967	17.4068874299	4.9160863414	9.3201509894
P562-PWY: myo-inositol degradation I|unclassified	20.1498589593	16.9870030523	8.7149635476	7.4833424598	17.1857907827	23.0768691662	32.7705221245	13.6344097723	22.6732019119	7.0426564799	17.3665998574	16.8908859762	8.4379709619	17.3773487315	4.9160863414	9.3194536013
P601-PWY: (+)-camphor degradation	5.1902918005	5.630615243	4.7125853808	0.9645616954	1.2260223515	2.1014502759	1.8141310229	0	2.7485074804	2.9709052286	0.5886752607	6.3266172192	4.318824695	5.3020158614	1.2705935204	5.1982338202
P601-PWY: (+)-camphor degradation|unclassified	5.1902918005	5.630615243	4.7125853808	0.9645616954	1.2260223515	2.1014502759	1.8141310229	0	2.7485074804	2.9709052286	0.5886752607	6.3266172192	4.318824695	5.3020158614	1.2705935204	5.1982338202
P621-PWY: nylon-6 oligomer degradation	163.678622329	134.1231078281	100.8726244037	68.9439117741	48.1847189822	83.0909227337	72.0411867803	71.2666588653	81.7967162543	61.8319625776	43.9000098829	154.2483099936	78.00548624	117.3630899536	106.5900435706	123.6189544665
P621-PWY: nylon-6 oligomer degradation|unclassified	163.678622329	134.1231078281	100.8726244037	68.9439117741	47.1870477523	83.0909227337	72.0411867803	71.2666588653	81.7967162543	61.7876106243	42.8694961268	154.0245942958	77.7763753584	117.2520539232	106.5900435706	122.6118668621
PANTO-PWY: phosphopantothenate biosynthesis I	7538.5631778954	3816.9528822757	3153.9126223376	3147.7966571297	2756.8376599153	3955.5947515629	3981.6836430024	2805.0149314524	3696.3089793007	2540.5806745953	2672.1701466959	4484.3865664455	2580.5940690825	3654.0384710872	2228.7242609338	3144.1143125698
PANTO-PWY: phosphopantothenate biosynthesis I|g__Acinetobacter.s__Acinetobacter_tandoii	0	0	0	0	0	6.0051472691	0	0	0	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacillus.s__Bacillus_megaterium	0	0	0	0	0	0	0	0	0	0	0	0	0	1.596487727	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bradyrhizobium.s__Bradyrhizobium_diazoefficiens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1003429579
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bradyrhizobium.s__Bradyrhizobium_japonicum	0	0	0	0	0	0	0	0	0	0	0	0	2.1815430995	13.1090905071	0	9.3671144508
PANTO-PWY: phosphopantothenate biosynthesis I|g__Exiguobacterium.s__Exiguobacterium_pavilionensis	0	6.0714858836	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Geodermatophilus.s__Geodermatophilus_obscurus	0	10.4298667016	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Gillisia.s__Gillisia_limnaea	0	0	0	13.2765920697	0	0	0	0	0	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Labrenzia.s__Labrenzia_aggregata	0	0	0	0	1.386962552	0	0	0	0	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Mesorhizobium.s__Mesorhizobium_loti	0	0	0	0	0	0	0	0	0	1.5947691572	0	0	1.7577911841	5.3966597882	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Methanocorpusculum.s__Methanocorpusculum_labreanum	0	0	0	0	0	0	3.7769588151	0	0	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Microcoleus.s__Microcoleus_vaginatus	1.4738393515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Oscillatoria.s__Oscillatoria_acuminata	3.7632188156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Peptostreptococcaceae_noname.s__Clostridium_bifermentans	0	0	0	0	5.2828527405	0	0	0	0	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Polaromonas.s__Polaromonas_naphthalenivorans	0	0	0	0	0	0	0	0	0	0	0	10.9929588661	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Pseudomonas.s__Pseudomonas_stutzeri	5.3853015904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Psychrobacter.s__Psychrobacter_arcticus	0	0	0	0	0	0	0	0	0	0	2.1802325581	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Rhodopseudomonas.s__Rhodopseudomonas_palustris	0	0	0	0	0	0	0	0	0	1.9263327401	0	0	0	3.2455988988	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Sorangium.s__Sorangium_cellulosum	0	0	0	0	0	0	0	0	0	0	0	0	2.2504571241	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Streptomyces.s__Streptomyces_chartreusis	0	2.2603602076	0	0	0	0	0	0	0	0	0	0	0	4.5917265659	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Sulfurovum.s__Sulfurovum_sp_AR	0	0	0	0	0	0	28.5888176621	3.8011973772	27.9753793286	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|unclassified	7502.997003741	3787.9595904273	3153.9126223376	3129.6013420298	2746.9396166739	3945.4708472192	3946.3416889931	2799.1219185781	3667.402246863	2528.9794413504	2663.5309882695	4467.4673877885	2564.3046150684	3626.6788983469	2225.8410626807	3118.1553580535
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	5225.6452384541	2556.8889230557	2040.4841467405	2032.9840500633	1942.3709517787	2840.3110352564	2956.5249094634	2038.4712479186	2718.2875154785	1621.2780217127	1962.8102608471	2981.6675195185	1597.8915509456	2452.6123209601	1492.6893303896	1957.0659982903
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Polaromonas.s__Polaromonas_naphthalenivorans	0	0	0	0	0	0	0	0	0	0	0	4.509131141	0	0	0	0
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Psychrobacter.s__Psychrobacter_arcticus	0	0	0	0	0	0	0	0	0	0	2.9867521208	0	0	0	0	0
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|unclassified	5185.9108170515	2527.199192576	2040.4841467405	2018.287735579	1938.1569492344	2833.841743254	2942.041268619	2034.6105794661	2709.3067085914	1618.2382986446	1940.6475631581	2969.2445667659	1594.4430330581	2435.1074632464	1491.4404008347	1951.2990663169
PENTOSE-P-PWY: pentose phosphate pathway	3878.5703907504	2300.1804858321	1790.4311842863	1642.0244831025	1679.2389335041	1987.9542443595	2082.2458344458	1481.9016214837	2088.7431127834	2026.7514226995	1658.7154914298	2597.0745691226	1596.0140165678	2532.8897600709	1868.5788135097	2094.4853925601
PENTOSE-P-PWY: pentose phosphate pathway|unclassified	3852.5290557705	2295.4100906642	1790.4122395717	1608.5752112035	1677.9983447973	1986.9006024487	2075.3834851059	1480.810751684	2083.5997710103	2021.7037071887	1649.9823423694	2594.1131227299	1593.0586240527	2524.0123675853	1862.7099954737	2081.5492270913
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	7045.9427184664	3345.6665461442	2644.6299267268	2564.941144331	2568.4683526987	3552.7282923018	3675.6689984894	2583.9396512486	3254.979048144	2104.4678974795	2949.3129997233	4030.5577287197	2184.8693266715	3239.0308243846	1866.1746977129	2630.0562279163
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Acinetobacter.s__Acinetobacter_tandoii	0	0	0	0	0	4.4913941529	0	0	0	0	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacillus.s__Bacillus_megaterium	0	1.4491086348	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bradyrhizobium.s__Bradyrhizobium_diazoefficiens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5508884049
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bradyrhizobium.s__Bradyrhizobium_japonicum	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8032611127	0	4.724937597
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Exiguobacterium.s__Exiguobacterium_pavilionensis	0	3.2989947158	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Mesorhizobium.s__Mesorhizobium_loti	0	0	0	0	0	0	0	0	0	1.6784238988	0	2.5462708573	0	0	0	7.5836303654
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Oscillatoria.s__Oscillatoria_acuminata	8.9898143598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Psychrobacter.s__Psychrobacter_arcticus	0	0	0	0	0	0	0	0	0	0	2.5003576376	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Sulfurovum.s__Sulfurovum_sp_AR	0	0	0	0	0	0	18.8697794542	5.7740174955	12.2356487346	0	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|unclassified	6916.2595213544	3319.7367246942	2643.9767551805	2535.3381685848	2554.8814015793	3517.4198124815	3650.0456670874	2576.6781968483	3233.1299195358	2094.3733693798	2898.770523874	4014.2831825863	2173.2444717416	3208.8954204403	1859.9444787057	2595.3260304869
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	2630.551277542	1142.2390541329	1133.5082824196	1382.0515114026	1406.1247815134	1985.2663653215	2126.3680414349	1747.6180290902	1926.1622205878	1154.3631322372	1351.4903556201	1598.8051016428	983.3421522909	1295.2243007621	778.8750121968	1124.3078006733
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)|g__Desulfococcus.s__Desulfococcus_oleovorans	0	0	0	0	1.0024057739	0	0	0	0	0	0	0	0	0	0	0
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)|g__Sorangium.s__Sorangium_cellulosum	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1914945508	0	0
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)|unclassified	2617.5224865908	1137.9348030778	1133.2727031719	1370.1998649974	1402.8053003075	1984.0129223555	2117.8648057472	1742.1855773735	1916.684449962	1154.2416883389	1330.9904329304	1595.4267842774	974.1072629558	1286.5392683778	773.5769802305	1120.1772932905
PHOSLIPSYN2-PWY: superpathway of phospholipid biosynthesis II (plants)	1.949234744	2.708698986	3.0177529474	1.2004308839	2.4472004871	0	1.8032954808	1.7498015826	0	1.4289710875	1.0861209021	0	0	0	0	1.7989609481
PHOSLIPSYN2-PWY: superpathway of phospholipid biosynthesis II (plants)|unclassified	1.9492101943	2.7086763533	3.0177369687	1.2004264976	2.4471925928	0	1.803289121	1.7497986945	0	1.4289696853	1.0861141692	0	0	0	0	1.7989171307
PHOTOALL-PWY: oxygenic photosynthesis	550.4069601583	127.2158852083	27.4067817556	227.33428729	529.5650402279	332.9075213597	320.3400089539	401.5586438323	212.5446726315	169.0772529059	96.8790996409	132.5941004644	33.8341094695	49.2769309683	13.0491663668	26.0520129693
PHOTOALL-PWY: oxygenic photosynthesis|unclassified	420.9929434696	71.0366419874	27.4067652006	226.9643456311	492.1759906063	332.8266282159	320.2505447424	401.5195221104	212.5079208069	169.0163916981	96.7518665987	132.5631268265	33.8319341282	49.2680159201	13.0489409982	26.0480990443
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	822.9710458633	488.3095287591	547.6192722042	380.4803404629	451.8639704961	602.7911519635	640.8632283727	334.4132767869	447.5884119723	426.9990391403	274.3828219996	637.3737804752	431.5833989438	516.118702762	359.7161887489	505.8431969698
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II|unclassified	819.9059821434	482.4678646863	547.4521649333	380.4124409507	449.8420286112	602.3780718838	634.0240218593	334.2295176263	446.4034099555	421.2407697208	268.0482402471	632.7055471869	423.6365957724	501.932626314	353.2738579034	492.4366412195
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	1125.605907356	661.0267513233	642.4185881348	446.5086225851	529.9398165803	671.350686469	694.2148740097	364.3640149391	472.9053028269	575.04951319	341.2386452559	840.585670889	539.6357905786	680.9112441395	424.0143818599	661.6035447341
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I|unclassified	1115.983019938	622.7454970643	642.188628741	446.3839540425	521.2391785579	670.8383378845	683.7048377843	364.140885839	471.5780885933	525.2583412261	341.0937732622	798.7391918611	480.1567651915	582.4554773326	380.4630914726	566.8867429199
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	1113.3105191944	461.0898279016	450.5236892188	480.6990104528	514.6948545651	686.7061068154	756.8397867682	586.9676824002	663.9248773019	384.4587679746	398.7662380466	615.1848327002	319.4813427931	462.5098622686	253.2672022308	378.4827999264
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)|unclassified	1110.6977169275	459.5905163175	450.5236892188	478.5528473805	513.2392163085	675.5121139125	755.7125125212	586.6196087162	663.9248773019	382.9961330248	395.8289021673	613.935761045	317.122018605	460.5190252879	253.0408448906	377.7239119991
PPGPPMET-PWY: ppGpp biosynthesis	1004.3695542442	484.9199752435	443.1691967352	493.0835231564	478.4096302382	638.5370353961	751.6423173023	599.0497838889	660.2941458005	413.231941319	392.2871186967	629.1987132954	339.7479672923	451.718110041	237.428293886	375.5601091676
PPGPPMET-PWY: ppGpp biosynthesis|unclassified	1003.4989716962	484.6956354922	443.1460848018	492.8762565809	478.3664474718	638.2050719672	751.1976393116	598.9537957059	659.9588131349	413.0018765213	391.7881427895	629.09011298	339.6079609524	451.5122408449	237.3643363214	375.4145262683
PROPFERM-PWY: L-alanine fermentation to propanoate and acetate	9.7590319371	6.181014121	14.841410326	3.4670210471	4.9858493424	19.0932715803	10.0498155279	5.7601433866	17.7684900811	6.2689051505	6.838376808	13.7133578891	4.8785288443	14.2846630978	9.6409785312	7.6428721092
PROPFERM-PWY: L-alanine fermentation to propanoate and acetate|unclassified	9.7589047238	6.1792401899	14.841410326	3.4670183203	4.9857896064	19.0932529872	10.0497260182	5.7601326201	17.7684179587	6.2688738501	6.838222301	13.7132705645	4.8781616957	14.2767065175	9.6409403885	7.6423768942
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	796.2965039652	547.4079369264	480.2810820073	360.7837151495	249.459184098	324.8975396209	332.8659411427	254.4573423344	319.8846760037	565.7890048707	98.5371892694	665.3576589228	393.3037513237	660.1145241998	437.3509137793	653.3942868357
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)|g__Candidatus_Solibacter.s__Candidatus_Solibacter_usitatus	0	0	0	0	0	0	0	0	0	13.4100412418	0	0	0	0	15.9092675283	0
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)|unclassified	795.6132221039	541.0428125889	480.2810820073	360.7837151495	249.459184098	289.3281693643	332.8659411427	254.4573423344	319.8846760037	555.8807156894	97.9385686125	658.0357758587	392.6059812723	655.8347741429	414.5566562904	646.797680438
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	1764.8785362093	903.5735461197	603.8599426799	597.31971084	1166.0307047885	1602.9825536546	1905.4106435323	1395.3330915352	2101.1186466389	781.4821440865	1274.9853995086	1090.0832978512	512.6424212888	704.6411718206	426.6508337696	619.4108983782
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis|unclassified	1721.7736358678	899.2677625074	603.8419407103	596.7225698445	1162.8199474357	1597.8698569716	1889.5068484097	1391.4082232965	2086.3067564862	766.2730427548	1253.5724024314	1082.1904273533	505.1803131237	699.0009533397	426.2426565286	610.0054293733
PWY-101: photosynthesis light reactions	391.8406053745	103.8229832889	18.3222197625	269.7274130198	428.5156338019	338.4268113376	280.2126354058	302.9476602796	172.0330144162	165.7729463064	129.6395615959	151.1693303465	25.7690124966	38.2071327034	8.7185968519	17.4239774563
PWY-101: photosynthesis light reactions|g__Nostoc.s__Nostoc_punctiforme	0	10.0905231077	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-101: photosynthesis light reactions|g__Oscillatoria.s__Oscillatoria_acuminata	30.6887444741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-101: photosynthesis light reactions|unclassified	324.1616695856	47.9294601702	18.3222197625	269.038298267	426.2485535466	338.4268113376	280.2126354058	302.9476602796	172.0330144162	165.7044926457	129.4009320159	151.1370365319	25.7676115454	38.2004730587	8.7184736008	17.4218255903
PWY-1042: glycolysis IV (plant cytosol)	9399.5939830273	4140.8233550459	3623.6360858595	3590.5054916447	4147.7688933143	4796.0085475683	5115.4079883806	3801.527729566	5132.651910274	2929.1140604663	4837.6955097262	4788.6046739426	2704.2079818802	3840.803215405	2618.9841324275	2999.9315351092
PWY-1042: glycolysis IV (plant cytosol)|g__Bacillus.s__Bacillus_megaterium	0	1.6219145801	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1042: glycolysis IV (plant cytosol)|g__Marinobacter.s__Marinobacter_adhaerens	0	0	0	0	1.6594306792	0	0	0	0	0	0	0	0	0	0	0
PWY-1042: glycolysis IV (plant cytosol)|g__Nostoc.s__Nostoc_punctiforme	0	3.8043176083	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1042: glycolysis IV (plant cytosol)|g__Oscillatoria.s__Oscillatoria_acuminata	6.7779668242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1042: glycolysis IV (plant cytosol)|g__Peptostreptococcaceae_noname.s__Clostridium_bifermentans	0	0	0	0	14.9765147439	0	9.6166811845	0	8.9224379488	0	0	0	0	0	0	0
PWY-1042: glycolysis IV (plant cytosol)|g__Sorangium.s__Sorangium_cellulosum	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5913912258	0	0
